A	một
Most	phần lớn
Mostly	chủ yếu
Mother	mẹ
Motion	chuyển động
Motivate	động viên
Motivation	động lực
Motive	động cơ
Motor	động cơ
Mount	gắn kết
Mountain	núi
Mouse	chuột
Mouth	miệng
Move	di chuyển
Movement	phong trào
Movie	bộ phim
Mr	Ông
Mrs	Bà
Ms	Cô
Much	nhiều
Mud	bùn
Multiple	nhiều
Municipal	thành phố
Murder	giết người
Muscle	cơ bắp
Museum	viện bảo tàng
Mushroom	nấm
Music	Âm nhạc
Musical	âm nhạc
Musician	nhạc sĩ
Muslim	Hồi giáo
Must	phải
Mutter	lẩm bẩm
Mutual	lẫn nhau
My	tôi
Myself	riêng tôi
Mysterious	huyền bí
Mystery	huyền bí
Myth	huyền thoại
N't	không
Nail	móng tay
Naked	trần truồng
Name	Tên
Narrative	tường thuật
Narrow	hẹp
Nasty	bẩn thỉu
Nation	quốc gia
National	Quốc gia
Nationwide	toàn quốc
Native	tự nhiên
Natural	tự nhiên
Naturally	một cách tự nhiên
Nature	thiên nhiên
Naval	hải quân
Near	ở gần
Nearby	gần đó
Nearly	Gần
Neat	khéo léo
Necessarily	nhất thiết
Necessary	cần thiết
Necessity	sự cần thiết
Neck	cái cổ
Need	nhu cầu
Needle	cây kim
Negative	tiêu cực
Negotiate	đàm phán
Negotiation	đàm phán
Neighbor	hàng xóm
Neighborhood	khu vực lân cận
Neighboring	lân cận
Neither	cũng không
Nerve	dây thần kinh
Nervous	lo lắng
Nest	tổ
Net	mạng lưới
Network	mạng
Neutral	Trung tính
Never	không bao giờ
Nevertheless	Tuy nhiên
New	Mới
Newly	mới
News	Tin tức
Newspaper	báo chí
Next	kế tiếp
Nice	tốt đẹp
Night	đêm
Nightmare	ác mộng
Nine	chín
No	Không
Nobody	không ai
Nod	gật đầu
Noise	tiếng ồn
Nomination	đề cử
Nominee	ứng cử viên
None	không ai
Nonetheless	dù sao
Nonprofit	phi lợi nhuận
Noon	trưa
Nor	cũng không
Norm	định mức
Normal	bình thường
Normally	bình thường
North	Bắc
Northeast	đông bắc
Northern	Phương bắc
Northwest	Tây Bắc
Nose	mũi
Not	không phải
Note	chú thích
Notebook	sổ tay
Nothing	không có gì
Notice	để ý
Notion	khái niệm
Novel	cuốn tiểu thuyết
Now	hiện nay
Nowhere	hư không
Nuclear	Nguyên tử
Number	con số
Numerous	nhiều
Nurse	y tá
Nut	hạt
Nutrient	chất dinh dưỡng
O'clock	giờ
Oak	cây sồi
Object	vật
Objection	sự phản đối
Objective	mục tiêu
Obligation	nghĩa vụ
Observation	quan sát
Observe	quan sát
Observer	người quan sát
Obstacle	trở ngại
Obtain	đạt được
Obvious	hiển nhiên
Obviously	chắc chắn
Occasion	dịp
Occasional	thỉnh thoảng
Occasionally	thỉnh thoảng
Occupation	nghề nghiệp
Occupy	chiếm
Occur	xảy ra
Ocean	đại dương
Odd	lẻ
Odds	tỷ lệ
Of	của
Off	tắt
Offender	tội phạm
Offense	xúc phạm
Offensive	phản cảm
Offer	phục vụ
Offering	chào bán
Office	văn phòng
Officer	nhân viên văn phòng
Official	chính thức
Officially	chính thức
Often	thường xuyên
Oh	Oh
Oil	dầu
Ok	được
Okay	đuợc
Old	cũ
Old-fashioned	Cổ hủ
Olympic	Olympic
Olympics	Thế vận hội
On	trên
Once	Một lần
One	một
One-third	một phần ba
Ongoing	đang diễn ra
Onion	củ hành
Online	Trực tuyến
Only	chỉ có
Onto	trên
Open	mở
Opening	khai mạc
Openly	cởi mở
Opera	opera
Operate	vận hành
Operating	điều hành
Operation	hoạt động
Operator	nhà điều hành
Opinion	quan điểm
Opponent	phản đối
Opportunity	cơ hội
Oppose	phản đối
Opposed	phản đối
Opposite	đối diện
Opposition	Sự đối lập
Opt	opt
Optimistic	lạc quan
Option	Tùy chọn
Or	hoặc là
Oral	miệng
Orange	trái cam
Orbit	quỹ đạo
Order	gọi món
Ordinary	bình thường
Organ	đàn organ
Organic	hữu cơ
Organism	cơ thể
Organization	cơ quan
Organizational	tổ chức
Organize	tổ chức
Organized	tổ chức
Orientation	sự định hướng
Origin	gốc
Original	nguyên
Originally	ban đầu
Other	khác
Others	Khác
Otherwise	nếu không thì
Ought	nên
Our	của chúng ta
Ours	của chúng tôi
Ourselves	chúng ta
Out	ngoài
Outcome	kết quả
Outdoor	ngoài trời
Outer	bên ngoài
Outfit	trang phục
Outlet	đầu ra
Outline	đề cương
Output	đầu ra
Outside	ở ngoài
Outsider	người ngoài
Outstanding	nổi bật
Oven	lò nướng
Over	kết thúc
Overall	tổng thể
Overcome	vượt qua
Overlook	bỏ qua
Overnight	qua đêm
Oversee	giám sát
Overwhelm	quá tải
Overwhelming	áp đảo
Owe	nợ
Own	sở hữu
Owner	chủ nhân
Ownership	sở hữu
Oxygen	ôxy
Pace	tốc độ
Pack	đóng gói
Package	gói
Pad	tập giấy
Page	trang
Pain	đau đớn
Painful	đau đớn
Paint	Sơn
Painter	họa sĩ
Painting	bức vẽ
Pair	đôi
Palace	cung điện
Pale	nhợt nhạt
Palestinian	Palestine
Palm	lòng bàn tay
Pan	chảo
Panel	bảng điều khiển
Panic	hoảng loạn
Pants (pl)	quần (PL)
Paper	giấy
Parade	diễu hành
Parent	cha mẹ
Parental	cha mẹ
Parish	giáo xứ
Park	công viên
Parking	bãi đỗ xe
Part	phần
Partial	một phần
Partially	một phần
Participant	người tham gia
Participate	tham dự
Participation	sự tham gia
Particle	hạt
Particular	cụ thể
Particularly	đặc biệt
Partly	từng phần
Partner	cộng sự
Partnership	hợp tác
Party	buổi tiệc
Pass	vượt qua
Passage	đoạn văn
Passenger	hành khách
Passing	đi qua
Passion	niềm đam mê
Past	quá khứ
Pasta	mỳ ống
Pastor	mục sư
Pat	vỗ vỗ
Patch	vá
Patent	bằng sáng chế
Path	con đường
Patience	kiên nhẫn
Patient	bệnh nhân
Patrol	tuần tra
Patron	người bảo trợ
Pattern	mẫu
Pause	tạm ngừng
Pay	trả
Payment	thanh toán
Pc	PC
Peace	hòa bình
Peaceful	bình yên
Peak	cao điểm
Peanut	đậu phụng
Peasant	nông dân
Peel	lột vỏ
Peer	ngang nhau
Pen	cây bút
Penalty	hình phạt
Pencil	bút chì
Pension	lương hưu
People	những người
Pepper	tiêu
Per	mỗi
Perceive	nhận thức
Perceived	lĩnh hội
Percentage	phần trăm
Perception	nhận thức
Perfect	hoàn hảo
Perfectly	hoàn hảo
Perform	biểu diễn
Performance	hiệu suất
Performer	người biểu diễn
Perhaps	có lẽ
Period	giai đoạn
Permanent	dài hạn
Permission	sự cho phép
Permit	cho phép
Persian	Người Ba Tư
Persist	tồn tại
Person	người
Personal	cá nhân
Personality	nhân cách
Personally	cá nhân
Personnel	nhân viên
Perspective	quan điểm
Persuade	truy vấn
Pet	vật nuôi
Phase	giai đoạn
Phenomenon	hiện tượng
Philosophical	triết học
Philosophy	triết học
Phone	điện thoại
Photo	hình chụp
Photograph	ảnh chụp
Photographer	nhiếp ảnh gia
Photography	nhiếp ảnh
Phrase	cụm từ
Physical	vật lý
Physically	thể chất
Physician	bác sĩ
Physics	vật lý
Piano	đàn piano
Pick	chọn
Pickup	nhặt lên
Picture	hình ảnh
Pie	chiếc bánh
Piece	cái
Pig	con lợn
Pile	Đóng cọc
Pill	Viên thuốc
Pillow	cái gối
Pilot	Phi công
Pin	ghim
Pine	cây thông
Pink	hồng
Pioneer	người tiên phong
Pipe	ống
Pistol	súng lục
Pit	hố
Pitch	sân cỏ
Pitcher	người bình
Pizza	pizza
Place	địa điểm
Placement	vị trí
Plain	trơn
Plaintiff	nguyên đơn
Plan	kế hoạch
Plane	máy bay
Planet	hành tinh
Planner	lập kế hoạch
Planning	lập kế hoạch
Plant	thực vật
Plastic	nhựa
Plate	đĩa
Platform	nền tảng
Play	chơi
Player	người chơi
Playoff	playoff
Plea	lời bào chữa
Plead	biện hộ
Pleasant	dễ chịu
Please	xin vui lòng
Pleased	vừa lòng
Pleasure	vui lòng
Plenty	nhiều
Plot	âm mưu
Plunge	lao xuống
Plus	thêm
Pm	PM
Pocket	bỏ túi
Poem	bài thơ
Poet	bài thơ
Poetry	thơ phú
Point	điểm
Poke	xô
Pole	cây sào
Police	cảnh sát
Policeman	cảnh sát
Policy	chính sách
Political	chính trị
Politically	chính trị
Politician	chính trị gia
Politics	chính trị
Poll	thăm dò ý kiến
Pollution	sự ô nhiễm
Pond	ao
Pool	bơi
Poor	nghèo nàn
Pop	nhạc pop
Popular	phổ biến
Popularity	phổ biến
Population	dân số
Porch	hiên nhà
Pork	thịt heo
Port	Hải cảng
Portfolio	danh mục đầu tư
Portion	phần
Portrait	Chân dung
Portray	miêu tả
Pose	đặt ra
Position	Chức vụ
Positive	tích cực
Possess	sở hữu
Possession	chiếm hữu
Possibility	khả năng
Possible	khả thi
Possibly	có thể
Post	bài đăng
Poster	áp phích
Pot	nồi
Potato	khoai tây
Potential	tiềm năng
Potentially	có khả năng
Pound	pao
Pour	đổ
Poverty	nghèo nàn
Powder	bột
Power	quyền lực
Powerful	quyền lực
Practical	thiết thực
Practically	thực tế
Practice	thực hành
Practitioner	học viên
Praise	ca ngợi
Pray	cầu nguyện
Prayer	cầu nguyện
Preach	rao giảng
Precious	quí
Precise	tóm lược
Precisely	đúng
Predator	người ăn thịt
Predict	tiên đoán
Prediction	dự đoán
Prefer	thích hơn
Preference	sở thích
Pregnancy	mang thai
Pregnant	có thai
Preliminary	sơ bộ
Premise	tiền đề
Premium	phí bảo hiểm
Preparation	chuẩn bị
Prepare	chuẩn bị
Prescription	đơn thuốc
Presence	sự hiện diện
Present	hiện tại
Presentation	trình bày
Preserve	giữ gìn
Presidency	chức tổng thống
President	chủ tịch
Presidential	tổng thống
Press	nhấn
Pressure	sức ép
Presumably	có lẽ
Pretend	giả vờ
Pretty	đẹp
Prevail	chiếm ưu thế
Prevent	ngăn chặn
Prevention	Phòng ngừa
Previous	Trước
Previously	trước đây
Price	giá bán
Pride	tự hào
Priest	thầy tu
Primarily	chủ yếu
Primary	sơ cấp
Prime	nguyên tố
Principal	hiệu trưởng
Principle	nguyên tắc
Print	in
Prior	trước
Priority	sự ưu tiên
Prison	nhà tù
Prisoner	Tù nhân
Privacy	riêng tư
Privately	tư nhân
Privilege	đặc quyền
Prize	giải thưởng
Pro	pro
Probably	có lẽ
Problem	vấn đề
Procedure	thủ tục
Proceed	tiếp tục
Process	quá trình
Processing	Chế biến
Processor	bộ vi xử lý
Proclaim	tuyên bố
Produce	sản xuất
Producer	nhà sản xuất
Product	sản phẩm
Production	sản xuất
Productive	có năng suất
Productivity	năng suất
Profession	chuyên nghiệp
Professional	chuyên nghiệp
Professor	Giáo sư
Profile	Hồ sơ
Profit	lợi nhuận
Profound	thâm thúy
Program	chương trình
Programming	lập trình
Progress	tiến độ
Progressive	cấp tiến
Prohibit	cấm
Project	dự án
Projection	chiếu
Prominent	nổi bật
Promise	lời hứa
Promising	hứa hẹn
Promote	Quảng bá
Promotion	quảng cáo
Prompt	nhắc nhở
Proof	bằng chứng
Proper	phù hợp
Properly	đúng
Property	bất động sản
Proportion	tỉ lệ
Proposal	đề nghị
Propose	cầu hôn
Proposed	đề xuất
Prosecution	truy tố
Prosecutor	công tố viên
Prospect	khách hàng tiềm năng
Protect	bảo vệ
Protection	sự bảo vệ
Protective	bảo vệ
Protein	chất đạm
Protest	phản đối
Protocol	giao thức
Proud	tự hào
Prove	chứng minh
Provide	cung cấp
Provided	cung cấp
Provider	các nhà cung cấp
Province	tỉnh
Provision	điều khoản
Provoke	kích động
Psychological	tâm lý
Psychologist	nhà tâm lý học
Psychology	tâm lý học
Public	công cộng
Publication	xuất bản
Publicity	công khai
Publicly	công khai
Publish	công bố
Publisher	nhà xuất bản
Pull	kéo
Pulse	xung
Pump	máy bơm
Punch	đấm
Punish	trừng phạt
Punishment	hình phạt
Purchase	mua, tựa vào, bám vào
Pure	nguyên chất
Purple	màu tím
Purpose	mục đích
Purse	cái ví
Pursue	theo đuổi
Pursuit	theo đuổi
Push	đẩy
Put	đặt
Puzzle	câu đố
Qualify	đủ tiêu chuẩn
Quality	phẩm chất
Quantity	số lượng
Quarter	phần tư
Quarterback	tiền vệ
Queen	nữ hoàng
Quest	nhiệm vụ
Question	câu hỏi
Questionnaire	bảng câu hỏi
Quick	nhanh chóng
Quickly	Mau
Quiet	Yên tĩnh
Quietly	lặng lẽ
Quit	thoái lui
Quite	khá
Quote	Trích dẫn
Rabbit	Con thỏ
Race	cuộc đua
Racial	chủng tộc
Racism	chủ nghĩa phân biệt chủng tộc
Rack	giá đỡ
Radar	radar
Radiation	sự bức xạ
Radical	cấp tiến, căn nguyên
Radio	radio
Rage	giận dữ
Rail	đường sắt
Railroad	đường sắt
Rain	mưa
Raise	nâng cao
Rally	biểu tình
Ranch	trang trại
Random	ngẫu nhiên
Range	phạm vi
Rank	cấp
Rape	hãm hiếp
Rapid	nhanh
Rapidly	nhanh chóng
Rare	hiếm
Rarely	ít khi
Rat	con chuột
Rate	tỷ lệ
Rather	hơn
Rating	Xêp hạng
Ratio	tỉ lệ
Rational	hợp lý
Raw	thô
Re	lại
Reach	chạm tới
React	phản ứng
Reaction	phản ứng
Read	đọc
Reader	người đọc
Readily	dễ dàng
Reading	đọc hiểu
Ready	sẳn sàng
Real	thực
Realistic	thực tế
Reality	thực tế
Realize	nhận ra
Really	có thật không
Realm	cảnh giới
Rear	phía sau
Reason	lý do
Reasonable	hợp lý
Rebel	nổi loạn
Rebuild	xây dựng lại
Recall	hồi tưởng
Receive	nhận được
Receiver	người nhận
Recent	gần đây
Recently	gần đây
Reception	tiếp nhận
Recession	suy thoái kinh tế
Recipe	công thức
Recipient	người nhận
Recognition	sự công nhận
Recognize	nhìn nhận
Recommend	giới thiệu
Recommendation	sự giới thiệu
Record	ghi lại
Recording	ghi âm
Recover	bình phục
Recovery	phục hồi
Recruit	tuyển dụng
Red	đỏ
Reduce	giảm
Reduction	giảm
Refer	tham khảo
Reference	tài liệu tham khảo
Reflect	phản chiếu
Reflection	sự phản chiếu
Reform	cải cách
Refrigerator	tủ lạnh
Refuge	nơi ẩn náu
Refugee	người tị nạn
Refuse	từ chối
Regain	giành lại
Regard	quan tâm
Regarding	về
Regardless	bất kể
Regime	chế độ
Region	khu vực
Regional	khu vực
Register	ghi danh
Regret	hối tiếc
Regular	đều đặn
Regularly	thường xuyên
Regulate	quy định
Regulation	Quy định
Regulator	người điều tiết
Regulatory	quy định
Rehabilitation	phục hồi chức năng
Reinforce	củng cố
Reject	Từ chối
Relate	liên hệ
Related	liên quan
Relation	quan hệ
Relationship	mối quan hệ
Relative	quan hệ
Relatively	tương đối
Relax	thư giãn
Release	giải phóng
Relevant	liên quan, thích hợp
Reliability	độ tin cậy
Reliable	đáng tin cậy
Relief	cứu trợ
Relieve	giải tỏa
Religion	tôn giáo
Religious	Tôn giáo
Reluctant	lưỡng lự
Rely	dựa
Remain	vẫn còn
Remaining	còn lại
Remark	nhận xét
Remarkable	đáng chú ý
Remember	nhớ lại
Remind	nhắc lại
Reminder	nhắc nhở
Remote	xa
Removal	gỡ bỏ
Remove	tẩy
Render	render
Rent	thuê
Rental	thuê
Repair	sửa
Repeat	nói lại
Repeatedly	nhiều lần
Replace	thay thế
Replacement	thay thế
Reply	Đáp lại
Report	bài báo cáo
Reportedly	báo cáo
Reporter	phóng viên
Reporting	Báo cáo
Represent	đại diện
Representation	đại diện
Representative	Tiêu biểu
Republic	nước cộng hòa
Republican	nhà nước cộng hòa
Reputation	uy tín
Request	yêu cầu
Require	yêu cầu
Required	cần thiết
Requirement	yêu cầu
Rescue	cứu hộ
Research	nghiên cứu
Researcher	nghiên cứu viên
Resemble	giống
Reservation	đặt phòng
Reserve	dự trữ
Residence	nơi cư trú
Resident	cư dân
Residential	nhà ở
Resign	từ chức
Resist	kháng cự
Resistance	sức đề kháng
Resolution	độ phân giải
Resolve	giải quyết
Resort	phương sách
Resource	tài nguyên
Respect	sự tôn trọng
Respectively	tương ứng
Respond	trả lời
Respondent	người trả lời
Response	phản ứng
Responsibility	trách nhiệm
Responsible	chịu trách nhiệm
Rest	nghỉ ngơi
Restaurant	nhà hàng
Restore	phục hồi
Restrict	giới hạn
Restriction	sự hạn chế
Result	kết quả
Resume	tiếp tục
Retail	bán lẻ
Retailer	nhà bán lẻ
Retain	giữ lại
Retire	về hưu
Retired	nghỉ hưu
Retirement	nghỉ hưu
Retreat	rút lui
Return	trở về
Reveal	tiết lộ
Revelation	sự mặc khải
Revenue	thu nhập
Reverse	đảo ngược
Review	ôn tập
Revolution	Cuộc cách mạng
Revolutionary	cách mạng
Reward	phần thưởng
Rhetoric	Hùng biện
Rhythm	nhịp
Rib	xương sườn
Ribbon	ribbon
Rice	cơm
Rich	giàu có
Rid	thoát khỏi
Ride	dap xe
Rider	người lái
Ridge	cây rơm
Ridiculous	nực cười
Rifle	súng trường
Right	đúng
Rim	rim
Ring	nhẫn
Riot	bạo loạn
Rip	Yên nghỉ
Rise	tăng lên
Risk	rủi ro
Risky	rủi ro
Ritual	lễ nghi
Rival	đối thủ
River	con sông
Road	đường
Robot	robot
Rock	đá
Rocket	tên lửa
Rod	gậy
Role	vai trò
Roll	cuộn
Rolling	lăn
Roman	Roman
Romance	lãng mạn
Romantic	lãng mạn
Roof	mái nhà
Room	phòng
Root	nguồn gốc
Rope	dây thừng
Rose	bông hồng
Rough	thô
Roughly	gần
Round	tròn
Route	lộ trình
Routine	công Việt Hằng ngày
Routinely	thường
Row	hàng
Royal	hoàng tộc
Rub	chà xát
Rubber	cao su
Ruin	phá hoại
Rule	qui định
Ruling	phán quyết
Rumor	tin đồn
Run	chạy
Runner	người chạy
Running	đang chạy
Rural	nông thôn
Rush	vội vã
Russian	Người Nga
Sack	bao
Sacred	Linh thiêng
Sacrifice	sự hy sinh
Sad	buồn
Safe	an toàn
Safely	an toàn
Safety	an toàn
Sail	cánh buồm
Sake	lợi ích
Salad	rau xà lách
Salary	lương
Sale	buôn bán
Sales	bán hàng
Salmon	cá hồi
Salt	Muối
Same	tương tự
Sample	mẫu vật
Sanction (pl)	sự trừng phạt (PL)
Sand	cát
Sandwich	sandwich
Satellite	vệ tinh
Satisfaction	sự thỏa mãn
Satisfy	làm vui lòng
Sauce	Nước xốt
Save	tiết kiệm
Saving (pl)	tiết kiệm (PL)
Say	Nói
Scale	tỉ lệ
Scan	quét
Scandal	vụ bê bối
Scare	sợ hãi
Scared	sợ hãi
Scary	đáng sợ
Scatter	tiêu tan
Scenario	kịch bản
Scene	bối cảnh
Scent	hương thơm
Schedule	kế hoạch
Scheme	kế hoạch
Scholar	học giả
Scholarship	học bổng
School	trường học
Science	khoa học
Scientific	thuộc về khoa học
Scientist	nhà khoa học
Scope	phạm vi
Score	ghi bàn
Scramble	tranh giành
Scratch	vết trầy
Scream	hét lên
Screen	màn
Screening	kiểm tra
Screw	Đinh ốc
Script	kịch bản
Sculpture	điêu khắc
Sea	biển
Seal	niêm phong
Search	Tìm kiếm
Season	Mùa
Seat	ghế
Second	thứ hai
Secondary	thứ hai
Secret	bí mật
Secretary	Thư ký
Section	phần
Sector	ngành
Secular	thế tục
Secure	đảm bảo
Security	Bảo vệ
See	xem
Seed	giống
Seek	tìm kiếm
Seem	hình như
Seemingly	có vẻ
Segment	phần
Seize	tịch thu
Seldom	ít khi
Select	lựa chọn
Selected	đã chọn
Selection	lựa chọn
Self	tự
Self-esteem	lòng tự trọng
Sell	bán
Seller	người bán
Seminar	hội thảo
Senate	Thượng nghị viện
Senator	thượng nghị sĩ
Send	gửi
Senior	cao cấp
Sensation	cảm giác
Sense	giác quan
Sensitive	nhạy cảm
Sensitivity	nhạy cảm
Sensor	cảm biến
Sentence	kết án
Sentiment	tình cảm
Separate	tách rời
Separation	tách biệt
Sequence	trình tự
Series	loạt
Serious	nghiêm trọng
Seriously	nghiêm túc
Servant	người hầu
Serve	phục vụ
Service	dịch vụ
Serving	phục vụ
Session	phiên họp
Set	bộ
Setting	cài đặt
Settle	ổn định
Settlement	giải quyết
Seven	bảy
Seventh	thứ bảy
Several	một số
